"code","days","months","gender","fullTheta","SE","weeks"
"Z35088",1093,35,"chłopiec",1.39217576889893,0.0395822100000434,157
"Z35089",1090,35,"chłopiec",1.241356851337,0.0810011378275667,156
"Z35090",1068,35,"dziewczynka",1.00056242037469,0.0105912906079512,153
"Z35091",1068,35,"dziewczynka",1.41720572768984,0.0563232414082166,153
"Z35092",1094,35,"chłopiec",1.2217175385895,0.0622256078248284,157
"Z35093",1081,35,"chłopiec",0.999757132978991,0.00696650954901235,155
"Z35094",1094,35,"chłopiec",-0.388596488064771,0.0463752337731786,157
"Z35095",1079,35,"dziewczynka",1.60363411956014,0.0512461301986138,155
"Z35096",1070,35,"chłopiec",1.20002060281415,0.00619948001762305,153
"Z35097",1069,35,"dziewczynka",1.89073853971656,0.110588478878924,153
"Z35098",1092,35,"chłopiec",1.20003584522927,0.00623517662530631,156
"Z35099",1088,35,"dziewczynka",0.199999999828614,6.04939134122697e-06,156
"Z35100",1069,35,"dziewczynka",0.400000000920729,1.36171043263796e-05,153
"Z35101",1095,35,"chłopiec",0.597113539926421,0.0238528900337506,157
"Z35102",1088,35,"chłopiec",3.17461981606346,0.404385808729334,156
"Z35103",1095,35,"dziewczynka",1.00013928069063,0.00527900177679261,157
"Z35104",1083,35,"chłopiec",1.48645357680893,0.0992406105036919,155
"Z35105",1078,35,"chłopiec",1.81431843672317,0.087803387220911,154
"Z35106",1095,35,"dziewczynka",1.4121581795054,0.0482028183812775,157
"Z35107",1065,34,"dziewczynka",3.08096382906723,0.373920102421634,153
"Z35108",1089,35,"chłopiec",0.800002470786593,0.000703318151098543,156
"Z35109",1080,35,"chłopiec",1.33740228495567,0.0927642065207823,155
"Z35110",1090,35,"dziewczynka",1.61784373314359,0.0632964566223795,156
"Z35111",1093,35,"dziewczynka",1.32832271104828,0.0959216928324069,157
"Z35112",1087,35,"dziewczynka",1.00110622237902,0.0148332272630763,156
"Z35113",1071,35,"dziewczynka",3.17461981606346,0.404385808729334,153
"Z35114",1084,35,"dziewczynka",2.71521928615093,0.264214414803488,155
"Z35115",1088,35,"chłopiec",1.40527104709118,0.0334712354322606,156
"Z35116",1071,35,"dziewczynka",1.19936518779389,0.011496059508814,153
"Z35117",1095,35,"chłopiec",0.399496416516966,0.0100231282685094,157
"Z35118",1078,35,"dziewczynka",3.17461981606346,0.404385808729334,154
"Z35119",1087,35,"chłopiec",3.17461981606346,0.404385808729334,156
"Z35120",1077,35,"chłopiec",3.17461981606346,0.404385808729334,154
"Z35121",1086,35,"dziewczynka",1.2000772117274,0.00641921723067577,156
"Z35122",1080,35,"dziewczynka",-0.000359266812106718,0.00846901941071779,155
"Z35123",1084,35,"dziewczynka",1.00130048979395,0.0160751355221533,155
"Z35124",1079,35,"chłopiec",1.64366031053301,0.0844983689522669,155
"Z35125",1095,35,"chłopiec",0.800411979739619,0.00906786764545808,157
"Z35126",1094,35,"chłopiec",-1.6108662013549,0.118249147630409,157
"Z35127",1075,35,"dziewczynka",1.19996745194992,0.00622588017000658,154
"Z35128",1088,35,"dziewczynka",0.199999995469003,3.01046492860387e-05,156
"Z35129",1076,35,"chłopiec",0.809088623016536,0.0416547900624308,154
"Z35130",1065,35,"dziewczynka",-0.200000002073329,5.4455337997698e-05,153
"Z35131",1081,35,"chłopiec",-0.461379227908337,0.0922411840003953,155
"Z35132",1075,35,"dziewczynka",-0.400001553201357,0.000590730458103245,154
"Z35133",1089,35,"chłopiec",0.399999999986164,4.68227464378846e-06,156
"Z35134",1086,35,"chłopiec",1.00013546739417,0.0052064502673543,156
"Z35135",1092,35,"dziewczynka",3.17461981606346,0.404385808729334,156
"Z35136",1075,35,"dziewczynka",1.20222455848758,0.0210135226478502,154
"Z36001",1106,36,"chłopiec",1.0051668045118,0.0317279977892742,158
"Z36002",1100,36,"chłopiec",0.799983493843272,0.00181687493936751,158
"Z36003",1102,36,"dziewczynka",1.46957148990559,0.0953650114199823,158
"Z36004",1105,36,"chłopiec",1.82552491006612,0.0908868496256778,158
"Z36005",1104,36,"chłopiec",1.02167669938886,0.0621728315391186,158
"Z36006",1109,36,"dziewczynka",2.11338561426635,0.136855770349952,159
"Z36007",1107,36,"dziewczynka",1.60721538866293,0.0534153229683675,159
"Z36008",1106,36,"dziewczynka",1.20016769573417,0.00712786877139579,158
"Z36009",1109,36,"dziewczynka",1.53726585589301,0.0935291967963062,159
"Z36010",1100,36,"chłopiec",0.60000024443954,0.00022110923808654,158
"Z36011",1104,36,"dziewczynka",1.27310011331021,0.0963171457827979,158
"Z36012",1103,36,"chłopiec",-1.41033560206979,0.0915262891891774,158
"Z36013",1099,36,"chłopiec",1.76118565500026,0.0934734748504872,157
"Z36014",1103,36,"chłopiec",2.13282540006727,0.140150296651906,158
"Z36015",1111,36,"chłopiec",0.593879337153957,0.034448077675485,159
"Z36016",1104,36,"chłopiec",2.46123399209398,0.201614721591645,158
"Z36017",1103,36,"chłopiec",0.400000000756767,1.23655958913045e-05,158
"Z36018",1111,36,"dziewczynka",1.00380007321248,0.0273052228092247,159
"Z36019",1124,36,"dziewczynka",1.56715523269314,0.0765664451037129,161
"Z36020",1101,36,"chłopiec",-0.222519600201141,0.0632201522223289,158
"Z36021",1111,36,"chłopiec",0.399999999887085,5.59933947279232e-06,159
"Z36022",1124,36,"dziewczynka",2.38697571018207,0.185730521008553,161
"Z36023",1098,36,"dziewczynka",0.799459445244372,0.0103835809806323,157
"Z36024",1101,36,"chłopiec",2.22566879411338,0.155256807885077,158
"Z36025",1098,36,"dziewczynka",1.20373604756892,0.0270960244778364,157
"Z36026",1102,36,"chłopiec",-0.88695395904349,0.099163472272008,158
"Z36027",1120,36,"dziewczynka",1.0000280260551,0.0023994290948778,160
"Z36028",1110,36,"dziewczynka",1.19023364806685,0.0431071634380364,159
"Z36029",1116,36,"dziewczynka",1.60965597442985,0.0554145289997879,160
"Z36030",1111,36,"dziewczynka",3.17461981606346,0.404385808729334,159
"Z36031",1104,36,"dziewczynka",-0.00911472404513225,0.0417117083635702,158
"Z36032",1107,36,"dziewczynka",1.82922098127832,0.0920973745665206,159
"Z36033",1104,36,"chłopiec",1.00007834493503,0.00396461122806408,158
"Z36034",1107,36,"dziewczynka",1.00021926801791,0.0066200667700229,159
"Z36035",1116,36,"chłopiec",1.43281314633292,0.0741656249003166,160
"Z36036",1114,36,"dziewczynka",2.55206196377037,0.222520180131418,160
"Z36037",1118,36,"chłopiec",2.35424862735169,0.179066448529962,160
"Z36038",1116,36,"dziewczynka",0.599999998846992,2.10118634131127e-05,160
"Z36039",1113,36,"chłopiec",-1.22304179092743,0.0720042398871161,159
"Z36040",1114,36,"dziewczynka",3.17461981606346,0.404385808729334,160
"Z36041",1117,36,"chłopiec",1.73444236527876,0.10018138978587,160
"Z36042",1116,36,"chłopiec",2.66448951185883,0.25069364342707,160
"Z36043",1116,36,"dziewczynka",0.399999999176331,1.28904333037934e-05,160
"Z36044",1112,36,"dziewczynka",2.40556265619472,0.189607134237703,159
"Z36045",1117,36,"chłopiec",0.800576931402008,0.0107262963183891,160
"Z36046",1118,36,"dziewczynka",1.56874030911072,0.0753095043205312,160
"Z36048",1115,36,"chłopiec",3.17461981606346,0.404385808729334,160
"Z36049",1106,36,"chłopiec",0.199907311495193,0.00430454524920607,158
"Z36050",1097,36,"chłopiec",1.00155751913537,0.0175806913250766,157
"Z36051",1117,36,"chłopiec",1.19640133535685e-10,9.50222514907647e-06,160
"Z36052",1100,36,"chłopiec",2.27900011344714,0.164610481647574,158
"Z36053",1125,36,"chłopiec",0.799925487626489,0.00385965534198513,161
"Z36054",1106,36,"dziewczynka",1.3801609170285,0.0599710878661325,158
"Z36055",1096,36,"chłopiec",2.32072513492097,0.172465067327897,157
"Z36056",1122,36,"dziewczynka",0.801020025108253,0.014246563502831,161
"Z36057",1113,36,"chłopiec",-0.1999998862377,0.000151463290890189,159
"Z36058",1109,36,"dziewczynka",-0.804700013995286,0.0303987335377107,159
"Z36059",1116,36,"dziewczynka",-1.85725096641456,0.147658766917419,160
"Z36060",1120,36,"dziewczynka",2.50157018119375,0.210694148757791,160
"Z36061",1121,36,"chłopiec",2.91626204043104,0.322221740168622,161
"Z36062",1118,36,"dziewczynka",0.738458161095653,0.0923090994710242,160
"Z36063",1117,36,"chłopiec",0.601047560894872,0.0144365783738239,160
"Z36064",1096,36,"chłopiec",1.32301936767918,0.0973283269002167,157
"Z36066",1115,36,"dziewczynka",-0.19999834175046,0.000575899431775102,160
"Z36067",1114,36,"dziewczynka",2.08480536370162,0.131812322084973,160
"Z36068",1126,36,"dziewczynka",1.88099047184458,0.108505625452542,161
"Z36069",1120,36,"chłopiec",0.000605472859742206,0.0109876282501998,160
"Z36070",1106,36,"dziewczynka",2.41770818435816,0.19217588165363,158
"Z36071",1125,36,"dziewczynka",1.8733722571893,0.106606114280078,161
"Z36072",1098,36,"chłopiec",1.25246875445545,0.0879833736308911,157
"Z36073",1116,36,"chłopiec",1.83005381551041,0.0923785778631409,160
"Z36074",1098,36,"chłopiec",0.793511169871734,0.0354353087950631,157
"Z36075",1097,36,"chłopiec",0.199999979895209,6.34111831823522e-05,157
"Z36076",1120,36,"dziewczynka",2.07156451948237,0.12944103308154,160
"Z36078",1105,36,"chłopiec",1.39994231543692,0.0215107759676783,158
"Z36079",1101,36,"dziewczynka",-0.79205669304119,0.0391037165704904,158
"Z36080",1115,36,"dziewczynka",1.4084485594287,0.0409484863254456,160
"Z36081",1116,36,"dziewczynka",-0.602636249287188,0.0228108290002778,160
"Z36082",1110,36,"dziewczynka",2.04419549468621,0.124739766356056,159
"Z36083",1104,36,"dziewczynka",-0.599947886061182,0.00347128589538993,158
"Z36084",1096,36,"dziewczynka",1.70713336549862,0.102791075076986,157
"Z36085",1097,36,"chłopiec",0.599999863352624,0.000165324082738962,157
"Z36086",1099,36,"dziewczynka",0.600000004556605,3.14010188899827e-05,157
"Z36087",1100,36,"dziewczynka",1.19990503013213,0.00653146933585787,158
"Z36088",1097,36,"chłopiec",2.44039524151187,0.197049890053944,157
"Z36089",1104,36,"chłopiec",1.59579335551379,0.0514928788000576,158
"Z36090",1111,36,"chłopiec",3.17461981606346,0.404385808729334,159
"Z36091",1104,36,"dziewczynka",3.17461981606346,0.404385808729334,158
"Z36092",1102,36,"dziewczynka",3.17461981606346,0.404385808729334,158
"Z36093",1119,36,"chłopiec",0.399999544828313,0.000301718631834163,160
"Z36095",1099,36,"dziewczynka",0.815922952699864,0.0541391735945946,157
"Z36096",1121,36,"chłopiec",0.815054931752075,0.0527668018791928,161
"Z36097",1117,36,"dziewczynka",1.1994663839711,0.0106324560472556,160
"Z36098",1099,36,"dziewczynka",0.999983482353851,0.00188585211022431,157
"Z36099",1114,36,"chłopiec",2.46807328295979,0.203131458090517,160
"Z36100",1109,36,"dziewczynka",3.17461981606346,0.404385808729334,159
"Z36101",1119,36,"dziewczynka",1.20182381666725,0.0190630737886358,160
"Z36102",1102,36,"dziewczynka",1.1244680750218,0.096960466502418,158
"Z36103",1114,36,"dziewczynka",-0.2045783499832,0.0299116817995276,160
"Z36104",1124,36,"dziewczynka",1.42240241313681,0.0632387181487177,161
"Z36105",1124,36,"dziewczynka",1.49315647772671,0.099960158687078,161
"Z36106",1126,36,"dziewczynka",0.799999243317841,0.000391123360846774,161
"Z36107",1109,36,"dziewczynka",-0.801841989035404,0.019516681011949,159
"Z36108",1117,36,"chłopiec",-0.400000199257347,0.000404861715256931,160
"Z36109",1105,36,"chłopiec",-1.24606971946222,0.0874589479987987,158
"Z36110",1105,36,"dziewczynka",2.09480276993519,0.133597698136523,158
"Z36111",1104,36,"dziewczynka",3.17461981606346,0.404385808729334,158
"Z36112",1098,36,"chłopiec",0.800003747175818,0.000865883556838692,157
"Z36113",1113,36,"dziewczynka",-0.200000000282652,5.41921796245295e-05,159
"Z36114",1101,36,"dziewczynka",0.00722048711241373,0.0373090067991928,158
"Z36115",1105,36,"dziewczynka",1.00000065944912,0.00115089798240927,158
"Z36116",1102,36,"chłopiec",0.200000002184275,2.09055744121332e-05,158
"Z36117",1100,36,"dziewczynka",0.199727731363431,0.00737425230807991,158
"Z36118",1119,36,"dziewczynka",-0.199999329831413,0.000366149458469201,160
"Z36119",1096,36,"chłopiec",2.63403056682567,0.242813197675472,157
